<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.03.29	113.428	113.799	112.607	112.673	136593	198271461000	9
2016.03.30	112.659	112.802	112.012	112.434	140263	208338667000	9
2016.03.31	112.413	112.657	112.105	112.571	131210	200587698000	9
2016.04.01	112.549	112.580	111.583	111.610	149407	199341012000	9
2016.04.04	111.585	111.792	111.093	111.314	127396	175163385000	9
2016.04.05	111.298	111.352	109.948	110.322	165500	240936022000	9
2016.04.06	110.300	110.639	109.335	109.778	148408	202786613000	9
2016.04.07	109.771	109.901	107.665	108.177	186074	263719093000	9
2016.04.08	108.175	109.094	107.990	108.022	157999	196959254000	9
2016.04.11	107.965	108.437	107.625	107.941	155589	195935904000	9
2016.04.12	107.918	108.782	107.866	108.522	141243	212756092000	9
2016.04.13	108.526	109.401	108.502	109.325	134727	201452975000	9
2016.04.14	109.323	109.542	108.891	109.400	126618	184501529000	9
2016.04.15	109.351	109.729	108.596	108.728	109683	163050812000	9
2016.04.18	108.199	108.985	107.832	108.803	133117	143570279000	9
2016.04.19	108.793	109.482	108.746	109.184	126991	164503600000	9
2016.04.20	109.183	109.875	108.758	109.818	128908	166406889000	9
2016.04.21	109.818	109.894	109.319	109.453	136649	163340894000	9
2016.04.22	109.442	111.802	109.256	111.748	151736	179028879000	9
2016.04.25	111.853	111.860	110.837	111.193	131374	150609927000	9
2016.04.26	111.188	111.472	110.666	111.298	129171	164094845000	9
2016.04.27	111.296	111.751	111.024	111.428	124656	153960976000	9
2016.04.28	111.408	111.880	107.860	108.087	170506	172110375000	9
2016.04.29	108.078	108.196	106.274	106.334	152032	158274336000	9
2016.05.02	106.223	106.815	106.136	106.392	144833	177882953000	9
2016.05.03	106.411	106.674	105.545	106.598	140140	177458896000	9
2016.05.04	106.585	107.453	106.243	106.982	148301	189613575000	9
2016.05.05	106.972	107.495	106.799	107.249	111778	147174000000	9
2016.05.06	107.238	107.416	106.430	107.074	142616	194437939000	9
2016.05.09	107.070	108.601	107.068	108.318	123567	164696694000	9
2016.05.10	108.309	109.346	108.270	109.256	129362	176674694000	9
2016.05.11	109.244	109.369	108.364	108.394	120230	160306789000	9
2016.05.12	108.391	109.391	108.222	108.993	140713	207848692000	9
2016.05.13	108.979	109.550	108.509	108.607	141520	192205299000	9
2016.05.16	108.605	109.092	108.460	109.019	102098	124144060000	9
