<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.01.29	1.09384	1.09483	1.08096	1.08300	209310	270680610000	7
2016.02.01	1.08297	1.09125	1.08142	1.08873	149072	178886003000	7
2016.02.02	1.08873	1.09397	1.08819	1.09177	151389	173470199000	7
2016.02.03	1.09158	1.11452	1.09034	1.11017	200352	225776652000	7
2016.02.04	1.11016	1.12387	1.10693	1.12067	225686	292074146000	7
2016.02.05	1.12053	1.12468	1.11084	1.11578	187784	286719575000	7
2016.02.08	1.11415	1.12155	1.10862	1.11912	189737	308947652000	7
2016.02.09	1.11910	1.13378	1.11620	1.12940	231656	335088672000	7
2016.02.10	1.12903	1.13111	1.11602	1.12889	229356	338417156000	7
2016.02.11	1.12899	1.13761	1.12736	1.13218	253405	303158864000	7
2016.02.12	1.13220	1.13337	1.12138	1.12503	208643	285054807000	7
2016.02.15	1.12336	1.12495	1.11276	1.11531	159956	216456387000	7
2016.02.16	1.11530	1.11928	1.11239	1.11423	168249	252286628000	7
2016.02.17	1.11420	1.11788	1.11057	1.11267	171626	231366771000	7
2016.02.18	1.11262	1.11493	1.10707	1.11058	166185	245431630000	7
2016.02.19	1.11063	1.11390	1.10664	1.11279	157798	217188046000	7
2016.02.22	1.11111	1.11244	1.10028	1.10281	148929	237132892000	7
2016.02.23	1.10273	1.10524	1.09898	1.10180	159977	262782117000	7
2016.02.24	1.10173	1.10459	1.09571	1.10116	176041	298745929000	7
2016.02.25	1.10137	1.10496	1.09865	1.10168	161056	274334832000	7
2016.02.26	1.10168	1.10679	1.09114	1.09289	159885	273341678000	7
2016.02.29	1.09130	1.09625	1.08589	1.08718	161758	263491697000	7
2016.03.01	1.08751	1.08932	1.08338	1.08656	162298	258998695000	5
2016.03.02	1.08644	1.08807	1.08251	1.08672	160186	277718952000	7
2016.03.03	1.08676	1.09725	1.08533	1.09556	154816	252260177000	7
2016.03.04	1.09556	1.10430	1.09027	1.10064	166289	242389152000	7
2016.03.07	1.09879	1.10255	1.09397	1.10121	127729	221885497000	7
2016.03.08	1.10127	1.10575	1.09933	1.10096	142910	227473184000	7
2016.03.09	1.10095	1.10345	1.09457	1.09981	134228	227934982000	7
2016.03.10	1.09973	1.12177	1.08219	1.11759	176693	251523367000	7
2016.03.11	1.11759	1.12093	1.10801	1.11462	150540	209617761000	7
2016.03.14	1.11444	1.11759	1.10775	1.11012	127000	208908434000	7
2016.03.15	1.11012	1.11248	1.10715	1.11048	130357	210619657000	7
2016.03.16	1.11049	1.12420	1.10575	1.12120	146973	201770198000	7
2016.03.17	1.12123	1.13422	1.12048	1.13151	161032	202177158000	7
2016.03.18	1.13139	1.13365	1.12558	1.12688	138417	214825698000	7
2016.03.21	1.12682	1.12844	1.12344	1.12386	115649	166191958000	7
2016.03.22	1.12386	1.12596	1.11881	1.12150	118562	149681676000	7
2016.03.23	1.12151	1.12231	1.11628	1.11796	90109	110528292000	7
2016.03.24	1.11802	1.11874	1.11439	1.11786	104732	142564891000	7
2016.03.25	1.11786	1.11789	1.11536	1.11613	45514	50904538000	7
2016.03.28	1.11599	1.12197	1.11527	1.11952	62033	107492825000	7
2016.03.29	1.11930	1.13032	1.11687	1.12893	141292	229344619000	7
2016.03.30	1.12896	1.13652	1.12831	1.13387	152488	250207053000	7
2016.03.31	1.13359	1.14115	1.13098	1.13788	145361	247984493000	7
2016.04.01	1.13777	1.14377	1.13344	1.13897	159690	265091454000	7
2016.04.04	1.13994	1.14123	1.13570	1.13888	129475	201912145000	7
2016.04.05	1.13863	1.14049	1.13356	1.13826	146695	246752444000	7
2016.04.06	1.13826	1.14317	1.13262	1.13979	149211	244160300000	7
2016.04.07	1.13975	1.14538	1.13373	1.13767	165889	257431452000	7
2016.04.08	1.13751	1.14190	1.13488	1.13949	140419	217414690000	7
2016.04.11	1.14138	1.14470	1.13721	1.14097	126835	205171184000	7
2016.04.12	1.14052	1.14645	1.13458	1.13835	144352	238679436000	7
2016.04.13	1.13827	1.13909	1.12680	1.12723	151524	257584925000	7
2016.04.14	1.12728	1.12945	1.12335	1.12663	137771	230033869000	7
2016.04.15	1.12616	1.13167	1.12453	1.12827	119449	186494558000	7
2016.04.18	1.12998	1.13317	1.12734	1.13119	119210	148461651000	7
2016.04.19	1.13091	1.13842	1.13030	1.13575	121795	169921984000	7
2016.04.20	1.13566	1.13876	1.12901	1.12952	129818	201561503000	7
2016.04.21	1.12952	1.13985	1.12696	1.12860	147583	202846835000	7
2016.04.22	1.12859	1.13084	1.12154	1.12154	143320	206099671000	7
2016.04.25	1.12167	1.12779	1.12145	1.12660	122000	172644030000	7
2016.04.26	1.12660	1.13394	1.12559	1.12950	125742	197827389000	7
2016.04.27	1.12948	1.13611	1.12713	1.13191	131122	189349013000	7
2016.04.28	1.13199	1.13676	1.12960	1.13509	155075	214840865000	7
2016.04.29	1.13509	1.14590	1.13470	1.14504	156574	230532280000	4
2016.05.02	1.14582	1.15354	1.14479	1.15331	131824	179662354000	7
2016.05.03	1.15331	1.16159	1.14947	1.14949	159314	229552231000	7
2016.05.04	1.14960	1.15292	1.14659	1.14855	156038	217122544000	7
2016.05.05	1.14829	1.14934	1.13856	1.14048	129054	183670486000	7
2016.05.06	1.14040	1.14796	1.13863	1.14009	138490	196953325000	7
2016.05.09	1.13939	1.14194	1.13750	1.13806	118175	173221091000	7
2016.05.10	1.13814	1.14096	1.13583	1.13717	117173	178481592000	7
2016.05.11	1.13691	1.14462	1.13686	1.14251	110018	171402650000	7
2016.05.12	1.14242	1.14288	1.13702	1.13766	116605	186349913000	7
2016.05.13	1.13736	1.13795	1.12825	1.13088	133533	214303443000	7
2016.05.16	1.13098	1.13420	1.13019	1.13193	103824	159552610000	7
2016.05.17	1.13198	1.13482	1.13013	1.13118	120937	193573641000	7
2016.05.18	1.13111	1.13159	1.12140	1.12158	142939	240962107000	7
2016.05.19	1.12144	1.12297	1.11796	1.12019	137673	222577909000	7
2016.05.20	1.12016	1.12370	1.11960	1.12217	100668	159216170000	7
2016.05.23	1.12033	1.12426	1.11873	1.12190	105512	162707941000	7
2016.05.24	1.12187	1.12267	1.11321	1.11393	122763	215466619000	7
2016.05.25	1.11398	1.11666	1.11285	1.11539	117544	200803395000	7
2016.05.26	1.11536	1.12164	1.11492	1.11927	117558	194347744000	7
2016.05.27	1.11918	1.12004	1.11107	1.11130	110864	172103454000	7
2016.05.30	1.11125	1.11443	1.10977	1.11380	74596	101095229000	7
2016.05.31	1.11362	1.11731	1.11219	1.11303	134654	260318595000	7
2016.06.01	1.11301	1.11937	1.11138	1.11869	142623	239981471000	7
2016.06.02	1.11865	1.12198	1.11449	1.11510	134491	230252800000	7
2016.06.03	1.11499	1.13732	1.10707	1.13662	151235	260841265000	7
2016.06.06	1.13542	1.13923	1.13262	1.13528	142741	238558863000	7
2016.06.07	1.13528	1.13801	1.13383	1.13555	121862	232684807000	7
2016.06.08	1.13563	1.14103	1.13541	1.13938	118280	212773199000	7
2016.06.09	1.13936	1.14151	1.13052	1.13129	129055	234791241000	7
2016.06.10	1.13130	1.13210	1.12450	1.12533	133550	190393311000	7
2016.06.13	1.12478	1.13027	1.12316	1.12893	149811	265786291000	7
2016.06.14	1.12890	1.12980	1.11886	1.12056	139493	244088637000	7
2016.06.15	1.12068	1.12982	1.11894	1.12602	140534	235963293000	7
2016.06.16	1.12580	1.12946	1.11307	1.12230	179607	300730192000	7
2016.06.17	1.12231	1.12961	1.12225	1.12752	136556	211145043000	7
2016.06.20	1.13308	1.13821	1.13018	1.13121	141590	233207905000	7
2016.06.21	1.13093	1.13492	1.12428	1.12439	126239	193884624000	7
2016.06.22	1.12421	1.13372	1.12362	1.12947	122068	195905220000	7
2016.06.23	1.12937	1.14208	1.12930	1.13791	141171	202045596000	7
